"","Kolumna1","id_ucznia","wersja_ankiety","obserwacja","zdolny_u","c_nauki","nr_klasy","nr_ucznia","plec","studia_m","studia_t","praca_m","zawod_matki","praca_o","zawod_ojciec","ocena_matematyka","ocena_jezyk_polski","ocena_przyroda","zawod_u","klasyfikacja_z","p_12_4","p_13_a_2_4","p_13_b_2_4","p_13_c_2_4","p_13_d_2_4","p_13_e_4","p_13_f_4","p_13_g_4","p_13_h_2_4","p_13_i_1_2_4","p_13_j_2_4","p_13_k_1_2_4","p_14_a_4","p_14_b_1_2_4","p_15_a_2_4","p_15_b_2_4","p_16_2_4","p_17_a_4","p_17_b_4","p_17_c_4","p_17_d_4","p_17_e_4","p_17_f_4","p_18_a_4","p_18_b_4","p_18_c_4","p_18_d_4","p_18_e_4","p_18_f_4","p_19_a_1_2_4","p_19_b_4","p_19_c_4","p_19_d_4","p_19_e_4","p_19_f_4","p_19_g_4","p_19_h_4","p_19_i_2_4","p_19_j_2_4","p_19_k_4","p_20_a","p_20_b","p_20_c","p_20_d","p_20_e","p_20_f","k_studia_m","k_studia_t","k_ocena_m","k_ocena_jp","k_ocena_prz","k_p_12_4","k_p_14_a_4","k_p_15_a_2_4","k_p_16_2_4","k_p_17_a_4","k_p_17_b_4","k_p_17_c_4","k_p_17_d_4","k_p_17_e_4","k_p_17_f_4","k_p_18_a_4","k_p_18_b_4","k_p_18_c_4","k_p_18_d_4","k_p_18_e_4","k_p_18_f_4","k_p_19_b_4","k_p_19_c_4","k_p_19_d_4","k_p_19_g_4","k_p_19_h_4","k_p_19_k_4","k_sum_4"
"11","88","714","czwarta wersja","tak","nie","Centrum Nauki Kopernik","7","14","chlopak","tak",NA,"tak","Inne","tak","Inne","4","5","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","nie","tak","nie","nie","nie","nie","4","0","3","4","3","2","0","0","2","3","0","0","1","1","0","0","1","1","0","0","0","4","1","4","2","4","2","42"
"12","89","715","czwarta wersja","nie","nie","Centrum Nauki Kopernik","7","15","chlopak",NA,NA,"tak","Inne","tak","Inne","4","5","3","Techniczny","bezposrdnio zwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam",NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","tak","nie","nie","nie","0","0","3","4","2","3","0","0","2","0","1","0","2","0","0","4","3","4","4","0","1","3","3","4","2","3","3","51"
"13","95","901","czwarta wersja","tak","nie","Centrum Nauki Kopernik","9","1","chlopak",NA,NA,"tak","Inne","nie",NA,"1","2","2","Inne","calkowicie niezwiazany z science",NA,"nie","tak","nie","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","0","1","1","0","0","0","2","0","3","0","1","1","0","3","1","0","3","2","0","3","3","1","3","3","3","34"
"14","96","902","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","2","chlopak","nie",NA,"tak","Techniczny","tak","Techniczny","3","4","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","tak","kolega","nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","3","3","3","0","0","3","0","0","0","1","1","0","4","3","0","0","3","4","0","3","0","4","2","3","42"
"15","97","903","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","3","chlopak",NA,NA,"tak","Inne","tak","Inne","6","6","6","Humanistyczny","calkowicie niezwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"tak","nie",NA,"nie","tak","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","tak","nie","nie","nie","0","0","5","5","5","1","0","0","3","3","0","1","1","0","1","4","2","3","1","1","0","4","4","4","4","4","3","59"
"16","98","904","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","4","dziewczyna",NA,NA,"nie","Inne","tak","Inne","2","2","2","Inne","calkowicie niezwiazany z science",NA,"tak","nie","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","tak","tak","nie","nie","0","0","1","1","1","1","0","0","3","0","0","0","2","1","0","4","4","4","0","3","0","4","3","3","3","3","3","44"
"17","99","905","czwarta wersja","tak","nie","Centrum Nauki Kopernik","9","5","chlopak",NA,NA,"tak","Inne","nie",NA,"3","3","2","Inne","posrednio zwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","tak","nie","tak","nie","nie","nie","0","0","2","2","1","2","0","0","2","0","0","0","0","0","0","3","4","1","1","1","0","3","3","2","3","3","4","37"
"18","100","906","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","6","dziewczyna",NA,NA,"tak","Inne","tak","Inne","4","4","4",NA,"calkowicie niezwiazany z science",NA,"tak","tak","nie","tak","nie",NA,"tak","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","3","3","3","3","0","0","3","1","1","0","2","1","2","4","2","2","3","4","0","3","3","3","2","2","3","53"
"19","101","907","czwarta wersja","tak","nie","Centrum Nauki Kopernik","9","7","dziewczyna",NA,NA,"tak","Inne","tak","Inne","5","5","5","Inne","calkowicie niezwiazany z science",NA,"nie","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","4","4","4","3","0","0","2","0","1","2","1","1","1","0","1","0","1","0","3","3","2","4","2","3","3","45"
"20","103","909","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","9","dziewczyna",NA,NA,"tak",NA,"tak","Inne","4","5","5",NA,NA,NA,"tak","nie","nie","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","3","4","4","1","0","0","3","0","0","0","1","1","1","3","2","4","1","0","0","4","3","0","4","3","3","45"
"21","104","910","czwarta wersja","tak","nie","Centrum Nauki Kopernik","9","10","dziewczyna","nie","nie","tak","Przyrodniczy","tak","Inne","3","4","3","Inne","calkowicie niezwiazany z science",NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","tak","nie","0","0","2","3","2","3","0","0","2","0","0","2","1","2","0","3","3","4","3","3","1","3","3","3","3","3","3","52"
"22","105","911","czwarta wersja","tak","nie","Centrum Nauki Kopernik","9","11","dziewczyna",NA,NA,"tak","Inne","tak","Inne","4","5","4","Inne","calkowicie niezwiazany z science",NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","tak","Kawaii Jons","tak","Kawaii Jons","bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","tak","nie","nie","nie","nie","nie","0","0","3","4","3","2","4","4","3","1","0","0","1","1","1","1","2","2","1","1","0","4","3","2","3","4","4","54"
"23","106","912","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","12","chlopak",NA,NA,"tak","Inne","tak","Inne","2","3","4","Inne","calkowicie niezwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","1","2","3","2","0","0","2","0","0","0","1","2","0","1","0","0","0","0","0","3","3","1","1","2","3","27"
"24","107","913","czwarta wersja","nie","nie","Centrum Nauki Kopernik","9","13","chlopak",NA,NA,"tak","Inne","tak","Inne","4","4","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","tak","tak","tak",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","tak","nie","nie","0","0","3","3","3","2","0","0","2","2","1","0","1","1","1","3","2","2","1","2","1","3","2","3","3","3","3","47"
"25","108","1001","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","1","dziewczyna","nie","tak","tak","Inne","nie",NA,"3","4","3","Techniczny","bezposrdnio zwiazany z science",NA,"nie","nie","nie","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","tak","nie","nie","nie","0","4","2","3","2","2","0","0","2","0","0","0","1","1","0","3","1","1","0","0","0","4","3","2","4","3","3","41"
"26","109","1002","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","2","chlopak",NA,NA,"tak","Przyrodniczy","tak","Przyrodniczy","6","5","6","Inne","calkowicie niezwiazany z science",NA,"tak","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","tak","0","0","5","4","5","3","0","0","2","3","0","1","2","1","1","3","3","3","4","3","1","3","3","3","3","3","3","62"
"27","110","1003","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","3","chlopak",NA,NA,"tak",NA,"tak","Inne","3","3","3","Przyrodniczy","posrednio zwiazany z science",NA,"nie","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","2","2","4","0","0","2","3","1","0","1","1","0","4","2","2","3","2","0","4","4","3","4","3","3","52"
"28","112","1005","czwarta wersja","tak","nie","Centrum Nauki Kopernik","10","5","dziewczyna",NA,NA,"tak","Inne",NA,NA,"4","5","6","Techniczny","bezposrdnio zwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","3","4","5","4","0","0","4","2","0","0","1","1","1","4","4","1","1","1","0","4","4","3","4","4","3","58"
"29","113","1006","czwarta wersja","tak","nie","Centrum Nauki Kopernik","10","6","dziewczyna",NA,NA,"tak","Inne","tak","Inne","2","3","3","Inne","calkowicie niezwiazany z science",NA,"nie","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","1","2","2","4","0","0","2","0","0","2","1","0","1","4","3","0","0","0","0","4","3","3","1","3","3","39"
"30","114","1007","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","7","dziewczyna","nie","nie","tak","Inne","tak","Inne","4","5","5","Techniczny",NA,NA,"tak","tak","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","3","4","4","2","0","0","2","0","0","0","1","1","1","4","1","2","0","0","0","4","3","2","4","3","3","44"
"31","115","1008","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","8","chlopak","tak","tak","tak","Przyrodniczy","tak",NA,"6","6","6","Przyrodniczy","posrednio zwiazany z science",NA,"tak","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam",NA,NA,"zdecydowanie sie zgadzam","tak","nie","nie","nie","nie","nie","4","4","5","5","5","4","0","0","4","3","3","2","0","3","0","3","3","2","0","1","3","4","4","4","3","4","4","77"
"32","116","1009","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","9","chlopak",NA,NA,"tak","Inne","tak","Inne","4","4","5","Techniczny","calkowicie niezwiazany z science",NA,"tak","tak","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"cale mnostwo (wiecej niz 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","tak","0","0","3","3","4","0","0","0","4","2","0","0","1","0","0","4","2","1","1","2","0","3","4","4","3","3","3","47"
"33","117","1010","czwarta wersja","tak","nie","Centrum Nauki Kopernik","10","10","dziewczyna","nie","nie","tak","Inne","tak","Inne","4","5","5",NA,NA,NA,"nie","nie","nie","nie","nie",NA,"nie","tak","roznie","nie","nie","tak","kuzynka","nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","tak","0","0","3","4","4","2","4","0","3","2","2","1","1","1","1","4","4","3","3","2","0","4","4","2","4","4","3","65"
"34","118","1011","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","11","chlopak",NA,NA,"tak",NA,"nie",NA,"4","1","3","Inne","calkowicie niezwiazany z science",NA,"nie","nie","nie","nie","nie",NA,"nie","nie",NA,"tak","nie","nie",NA,"nie",NA,"nie ma ani jednej",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"zdecydowanie sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","tak","nie","nie","nie","nie","nie","0","0","3","0","2","0","0","0","0","0","0","0","0","0","0","0","2","1","0","0",NA,"1","3","4","4","3","4",NA
"35","119","1012","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","12","dziewczyna",NA,NA,"tak","Inne","tak","Techniczny","3","4","3","Inne","calkowicie niezwiazany z science",NA,"nie","tak","nie","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","3","2","2","0","0","2","0","0","1","3","0","0","1","0","0","0","0","0","3","3","3","3","3","3","34"
"36","120","1013","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","13","dziewczyna",NA,NA,"tak","Inne","tak","Inne","3","3","1","Inne","calkowicie niezwiazany z science",NA,"tak","tak","nie","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","2","2","0","2","0","0","3","0","0","2","0","0","1","3","0","0","0","0","0","4","3","3","4","3","3","35"
"37","121","1014","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","14","dziewczyna",NA,NA,"tak","Przyrodniczy","tak","Przyrodniczy","3","5","5","Inne","calkowicie niezwiazany z science",NA,"tak","nie","nie","nie","nie",NA,"nie","nie",NA,"nie","tak","nie",NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","2","4","4","2","0","0","2","0","1","0","1","0","0","2","0","1","0","1","0","4","4","3","3","4","3","41"
"38","122","1015","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","15","dziewczyna","nie","nie","tak","Inne","tak","Inne","2","3","4","Inne","calkowicie niezwiazany z science",NA,"tak","nie","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,"duzo (od 20 do 50)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","nie","nie","nie","nie","0","0","1","2","3","3","0","0","2","0","0","0","1","0","0","2","4","0","3","2","0","4","4","3","3","3","3","43"
"39","123","1016","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","16","dziewczyna",NA,NA,"tak","Inne",NA,NA,"3","4","5",NA,NA,NA,"tak","tak","tak","tak","nie",NA,"nie","nie",NA,"nie","nie","tak","wujek i ciocia","nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie nie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie nie zgadzam","raczej sie nie zgadzam","raczej sie nie zgadzam","ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","2","3","4","1","4","0","3","1","0","0","1","0","0","4","2","0","1","1","0","4","2","0","2","3","3","41"
"40","124","1017","czwarta wersja","tak","nie","Centrum Nauki Kopernik","10","17","dziewczyna",NA,NA,"tak","Inne","tak","Inne","2","3","4","Inne","calkowicie niezwiazany z science",NA,"nie","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie",NA,NA,"nie",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ani sie zgadzam ani sie nie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","nie","nie","nie","nie","nie","nie","0","0","1","2","3","2","0","0","1","2","0","1","1","2","0","4","2","4","2","2","0","3","3","3","3","3","3","47"
"41","125","1018","czwarta wersja","nie","nie","Centrum Nauki Kopernik","10","18","chlopak",NA,NA,"nie","Inne","tak","Inne","6","6","6","Inne","calkowicie niezwiazany z science",NA,"tak","tak","tak","nie","nie",NA,"nie","nie",NA,"nie","nie","nie",NA,"nie",NA,"bardzo duzo (wiecej niz 50 do 100)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"raczej sie zgadzam","zdecydowanie sie zgadzam","ani sie zgadzam ani sie nie zgadzam","zdecydowanie sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","zdecydowanie sie zgadzam","raczej sie zgadzam","nie","tak","tak","nie","nie","nie","0","0","5","5","5","4","0","0","3","3","0","0","1","1","0","3","1","2","0","1","0","4","2","4","3","4","3","54"
