Kolumna1,id_ucznia,wersja_ankiety,obserwacja,zdolny_u,c_nauki,nr_klasy,nr_ucznia,plec,studia_m,studia_t,praca_m,zawod_matki,praca_o,zawod_ojciec,ocena_matematyka,ocena_jezyk_polski,ocena_przyroda,zawod_u,klasyfikacja_z,p_12_4,p_13_a_2_4,p_13_b_2_4,p_13_c_2_4,p_13_d_2_4,p_13_e_4,p_13_f_4,p_13_g_4,p_13_h_2_4,p_13_i_1_2_4,p_13_j_2_4,p_13_k_1_2_4,p_14_a_4,p_14_b_1_2_4,p_15_a_2_4,p_15_b_2_4,p_16_2_4,p_17_a_4,p_17_b_4,p_17_c_4,p_17_d_4,p_17_e_4,p_17_f_4,p_18_a_4,p_18_b_4,p_18_c_4,p_18_d_4,p_18_e_4,p_18_f_4,p_19_a_1_2_4,p_19_b_4,p_19_c_4,p_19_d_4,p_19_e_4,p_19_f_4,p_19_g_4,p_19_h_4,p_19_i_2_4,p_19_j_2_4,p_19_k_4,p_20_a,p_20_b,p_20_c,p_20_d,p_20_e,p_20_f,k_studia_m,k_studia_t,k_ocena_m,k_ocena_jp,k_ocena_prz,k_p_12_4,k_p_14_a_4,k_p_15_a_2_4,k_p_16_2_4,k_p_17_a_4,k_p_17_b_4,k_p_17_c_4,k_p_17_d_4,k_p_17_e_4,k_p_17_f_4,k_p_18_a_4,k_p_18_b_4,k_p_18_c_4,k_p_18_d_4,k_p_18_e_4,k_p_18_f_4,k_p_19_b_4,k_p_19_c_4,k_p_19_d_4,k_p_19_g_4,k_p_19_h_4,k_p_19_k_4,k_sum_4
136,1108,czwarta wersja,tak,nie,Centrum Nauki Kopernik,11,8,dziewczyna,tak,tak,nie,,tak,produkuje sery,4,3,4,,NA,nigdy albo rzadko (raz w roku),nie,tak,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niz 20),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,raczej sie zgadzam,NA,NA,NA,NA,NA,NA,NA,NA,NA,raczej sie zgadzam,nie,nie,nie,nie,nie,nie,4,4,3,2,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,NA,NA,NA,NA,NA,3,NA
137,1109,czwarta wersja,nie,nie,Centrum Nauki Kopernik,11,9,chlopak,tak,tak,tak,piekarz,tak,taksowkarz,3,3,3,pilkarz,calkowicie niezwiazany z science,nigdy albo rzadko (raz w roku),nie,tak,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,nie ma ani jednej,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,raz w tygodniu,raz lub dwa razy w miesiacu,kilka razy w roku,raz lub dwa razy w miesiacu,prawie codziennie,prawie codziennie,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,kilka razy w roku,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,nie,nie,nie,tak,nie,nie,4,4,2,2,2,0,0,0,0,0,1,1,3,2,1,2,4,4,0,2,1,2,2,4,3,3,3,52
138,1110,czwarta wersja,nie,nie,Centrum Nauki Kopernik,11,10,dziewczyna,tak,nie wiem,tak,prowadzi wlasna dziala,tak,prowadzi wlasna dziala,4,4,3,"fotograf lub prawnik, ewentulanie cos zwiazanego",calkowicie niezwiazany z science,raz lub dwa razy w miesiacu,nie,nie,nie,nie,nie,tak,nie,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),raz lub dwa razy w miesiacu,raz w tygodniu,raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,raczej sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,zdecydowanie sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,4,0,3,3,2,2,0,0,2,2,3,3,1,1,0,2,3,1,1,0,1,3,2,3,0,4,3,49
139,1111,czwarta wersja,nie,nie,Centrum Nauki Kopernik,11,11,chlopak,tak,nie wiem,tak,nieczytelne pismo,tak,lakiernik,3,3,3,policjant lub kryminolog,calkowicie niezwiazany z science,raz lub dwa razy w miesiacu,tak,tak,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,raczej sie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,4,0,2,2,2,2,0,0,3,0,1,0,1,1,0,3,1,1,0,0,1,1,2,0,1,3,3,34
140,1112,czwarta wersja,nie,nie,Centrum Nauki Kopernik,11,12,chlopak,tak,nie wiem,nie wiem,,nie wiem,,3,4,5,"restaurator, szef kuchni",calkowicie niezwiazany z science,kilka razy w roku,nie,tak,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,NA,,NA,NA,NA,NA,NA,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,nie,nie,nie,nie,tak,4,0,2,3,4,1,0,NA,NA,NA,NA,NA,NA,0,0,3,1,1,0,0,0,4,4,3,3,4,3,NA
141,1113,czwarta wersja,nie,nie,Centrum Nauki Kopernik,11,13,chlopak,nie,nie,tak,pakuje kosmetyki,tak,budowlaniec,3,4,3,pilkarz lub informatyk,dualizm odpowiedzi,nigdy albo rzadko (raz w roku),nie,nie,nie,nie,nie,tak,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niz 20),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,zdecydowanie sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,2,3,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,3,3,3,21
142,1114,czwarta wersja,tak,nie,Centrum Nauki Kopernik,11,14,dziewczyna,tak,tak,tak,pracownik biurowy,tak,nie wie,4,5,4,"architekt, inzynier",dualizm odpowiedzi,nigdy albo rzadko (raz w roku),nie,nie,nie,nie,nie,nie,nie,nie,,tak,nie,nie,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),raz w tygodniu,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,zdecydowanie sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,tak,tak,nie,4,4,3,4,3,0,0,0,2,0,3,0,1,1,0,1,0,1,0,0,0,2,1,0,2,3,3,38
143,1201,czwarta wersja,nie,nie,Centrum Nauki Kopernik,12,1,dziewczyna,nie,nie,nie,,tak,w zakladzie miesnym,2,4,4,otworzyc sswoja cukiernie lub pracowac w domu,calkowicie niezwiazany z science,raz w tygodniu,tak,nie,tak,nie,nie,nie,nie,tak,opiekunka siostry,nie,nie,tak,wujek,nie,,cale mnostwo (wiecej niz 100),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,raz w tygodniu,raz w tygodniu,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,1,3,3,3,4,0,4,3,0,0,1,1,0,3,3,3,0,1,0,4,2,2,3,2,3,49
145,1203,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,3,dziewczyna,tak,tak,tak,nauczycielka,tak,nauczyciel,4,5,4,rezyserka lub aktorka,calkowicie niezwiazany z science,raz lub dwa razy w miesiacu,nie,nie,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,cale mnostwo (wiecej niz 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),zdecydowanie sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie nie zgadzam,zdecydowanie sie nie zgadzam,zdecydowanie sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,nie,nie,nie,nie,nie,nie,4,4,3,4,3,2,0,0,4,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,2,3,3,37
146,1204,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,4,chlopak,tak,tak,tak,architekt,tak,nie pamieta,3,4,4,architekt,posrednio zwiazany z science,nigdy albo rzadko (raz w roku),nie,nie,nie,nie,nie,nie,nie,nie,,tak,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raczej sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie nie zgadzam,zdecydowanie sie nie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,nie,nie,nie,nie,nie,nie,4,4,2,3,3,0,0,0,3,0,0,0,1,1,0,3,1,1,0,1,0,4,1,0,2,3,3,40
147,1206,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,6,chlopak,nie,nie,nie,,tak,w firmie przewozowej,3,3,3,astronauta,bezposrdnio zwiazany z science,prawie codziennie,nie,nie,nie,nie,nie,nie,tak,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),prawie codziennie,raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,0,0,2,2,2,4,0,0,3,3,0,0,0,0,0,4,3,0,0,0,0,3,3,2,3,2,3,39
148,1208,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,8,chlopak,nie wiem,nie wiem,tak,magazynier,tak,magazynier,4,4,4,"architekt, youtuber",posrednio zwiazany z science,kilka razy w roku,tak,tak,tak,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,raz lub dwa razy w miesiacu,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,tak,tak,tak,nie,nie,nie,0,0,3,3,3,1,0,0,3,0,2,0,0,0,0,1,1,2,1,0,0,4,2,2,3,3,4,38
149,1209,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,9,dziewczyna,nie wiem,nie wiem,tak,fryzjerka,tak,przedstawiciel handlowy,3,5,4,prawnik lub lekarz,dualizm odpowiedzi,prawie codziennie,nie,nie,tak,tak,nie,tak,nie,nie,,nie,nie,nie wiem,,tak,czyta blogi o tematyce na,cale mnostwo (wiecej niz 100),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,prawie codziennie,raz lub dwa razy w miesiacu,prawie codziennie,raz w tygodniu,raz w tygodniu,raz w miesiacu,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,0,0,2,4,3,4,0,4,4,1,1,0,1,1,1,4,2,4,3,3,2,4,3,3,4,4,3,65
150,1210,czwarta wersja,tak,nie,Centrum Nauki Kopernik,12,10,chlopak,tak,tak,nie,,tak,informatyk,5,5,4,pilot,calkowicie niezwiazany z science,nigdy albo rzadko (raz w roku),tak,nie,tak,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,cale mnostwo (wiecej niz 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,raz w tygodniu,raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,kilka razy w roku,raz w tygodniu,nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,nie,nie,tak,nie,nie,4,4,4,4,3,0,0,0,4,0,0,0,1,1,1,3,2,2,1,3,0,4,4,3,4,4,3,59
152,1214,czwarta wersja,nie,nie,Centrum Nauki Kopernik,12,14,dziewczyna,nie,nie,tak,pakuje czesci samochodo,tak,operator maszyn,3,5,5,weterynarz lub projektantka mody,posrednio zwiazany z science,kilka razy w roku,nie,nie,nie,tak,nie,nie,nie,nie,,nie,nie,nie wiem,,nie,,kilka (mniej niz 20),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,2,4,4,1,0,0,1,3,0,0,1,1,0,2,2,0,0,0,0,3,3,2,2,3,3,37
153,1215,czwarta wersja,nie,nie,Centrum Nauki Kopernik,12,15,chlopak,NA,tak,tak,pracownik biurowy,nie wiem,,4,4,4,informatyk,bezposrdnio zwiazany z science,raz w tygodniu,tak,nie,tak,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),raz w tygodniu,raz w tygodniu,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,kilka razy w roku,raz w tygodniu,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,NA,4,3,3,3,3,0,0,2,3,3,0,2,2,1,3,0,2,0,1,0,4,3,3,3,4,3,NA
154,1216,czwarta wersja,nie,nie,Centrum Nauki Kopernik,12,16,chlopak,tak,tak,tak,pracuje w domu,tak,stolarz,4,5,4,policjant lub informatyk,dualizm odpowiedzi,nigdy albo rzadko (raz w roku),tak,nie,tak,nie,nie,tak,nie,nie,,nie,nie,nie,,nie,,cale mnostwo (wiecej niz 100),nigdy albo rzadko (raz w roku),raz w tygodniu,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,kilka razy w roku,raz lub dwa razy w miesiacu,prawie codziennie,kilka razy w roku,nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,4,4,3,4,3,0,0,0,4,0,3,0,1,0,0,2,1,2,4,1,0,4,3,4,3,4,3,57
155,1301,czwarta wersja,tak,nie,Centrum Nauki Kopernik,13,1,dziewczyna,nie,tak,tak,w osrodku dla osob niep,tak,wojt gminy,6,5,6,lekarz pediatra,bezposrdnio zwiazany z science,prawie codziennie,tak,tak,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,cale mnostwo (wiecej niz 100),raz w tygodniu,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,prawie codziennie,raz w tygodniu,prawie codziennie,raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,0,4,5,4,5,4,0,0,4,3,2,0,1,0,1,4,3,4,2,2,0,4,4,4,4,4,3,71
156,1302,czwarta wersja,nie,nie,Centrum Nauki Kopernik,13,2,chlopak,nie,nie,nie,,tak,stolarz,3,2,3,nieczytelne pismo,NA,kilka razy w roku,nie,nie,tak,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,kilka (mniej niz 20),raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej sie nie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,tak,nie,nie,nie,nie,nie,0,0,2,1,2,1,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0,3,1,4,4,4,4,30
157,1303,czwarta wersja,tak,nie,Centrum Nauki Kopernik,13,3,chlopak,nie wiem,tak,tak,"krawcowa, dekororka sal",tak,kierowca TIR-ow,3,3,3,informatyk,bezposrdnio zwiazany z science,raz w tygodniu,tak,nie,nie,nie,nie,nie,nie,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesiacu,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,tak,nie,nie,nie,nie,nie,0,4,2,2,2,3,0,0,2,0,0,0,1,0,0,1,2,1,0,0,0,3,2,2,3,3,4,37
158,1304,czwarta wersja,nie,nie,Centrum Nauki Kopernik,13,4,dziewczyna,tak,nie,tak,pielegniarka,tak,elektryk,4,4,4,przedszkolanka,calkowicie niezwiazany z science,prawie codziennie,nie,nie,tak,tak,nie,nie,nie,nie,,nie,nie,nie wiem,,nie,,cale mnostwo (wiecej niz 100),kilka razy w roku,raz w tygodniu,raz w tygodniu,raz lub dwa razy w miesiacu,kilka razy w roku,kilka razy w roku,prawie codziennie,prawie codziennie,raz w tygodniu,raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,tak,tak,tak,nie,nie,nie,4,0,3,3,3,4,0,0,4,1,3,3,2,1,1,4,4,3,2,2,0,4,4,3,4,4,4,70
159,1305,czwarta wersja,nie,nie,Centrum Nauki Kopernik,13,5,chlopak,tak,tak,tak,pedagog,tak,handlowiec,5,4,5,architekt,posrednio zwiazany z science,raz lub dwa razy w miesiacu,nie,nie,tak,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,raz lub dwa razy w miesiacu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,4,4,4,3,4,2,0,0,3,2,0,0,1,1,1,2,1,1,0,1,0,4,3,1,2,4,3,51
160,1306,czwarta wersja,nie,nie,Centrum Nauki Kopernik,13,6,dziewczyna,nie,nie,nie,,tak,kierowca TIR-ow,3,3,3,fryzjerka,calkowicie niezwiazany z science,kilka razy w roku,nie,nie,tak,nie,nie,tak,tak,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),prawie codziennie,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,nie,nie,nie,nie,tak,0,0,2,2,2,1,0,0,2,1,0,0,0,0,0,4,2,0,0,1,0,4,3,4,4,4,3,39
