Kolumna1,id_ucznia,wersja_ankiety,obserwacja,zdolny_u,c_nauki,nr_klasy,nr_ucznia,plec,studia_m,studia_t,praca_m,zawod_matki,praca_o,zawod_ojciec,ocena_matematyka,ocena_jezyk_polski,ocena_przyroda,zawod_u,klasyfikacja_z,p_12_4,p_13_a_2_4,p_13_b_2_4,p_13_c_2_4,p_13_d_2_4,p_13_e_4,p_13_f_4,p_13_g_4,p_13_h_2_4,p_13_i_1_2_4,p_13_j_2_4,p_13_k_1_2_4,p_14_a_4,p_14_b_1_2_4,p_15_a_2_4,p_15_b_2_4,p_16_2_4,p_17_a_4,p_17_b_4,p_17_c_4,p_17_d_4,p_17_e_4,p_17_f_4,p_18_a_4,p_18_b_4,p_18_c_4,p_18_d_4,p_18_e_4,p_18_f_4,p_19_a_1_2_4,p_19_b_4,p_19_c_4,p_19_d_4,p_19_e_4,p_19_f_4,p_19_g_4,p_19_h_4,p_19_i_2_4,p_19_j_2_4,p_19_k_4,p_20_a,p_20_b,p_20_c,p_20_d,p_20_e,p_20_f,k_studia_m,k_studia_t,k_ocena_m,k_ocena_jp,k_ocena_prz,k_p_12_4,k_p_14_a_4,k_p_15_a_2_4,k_p_16_2_4,k_p_17_a_4,k_p_17_b_4,k_p_17_c_4,k_p_17_d_4,k_p_17_e_4,k_p_17_f_4,k_p_18_a_4,k_p_18_b_4,k_p_18_c_4,k_p_18_d_4,k_p_18_e_4,k_p_18_f_4,k_p_19_b_4,k_p_19_c_4,k_p_19_d_4,k_p_19_g_4,k_p_19_h_4,k_p_19_k_4,k_sum_4
88,714,czwarta wersja,tak,nie,Centrum Nauki Kopernik,7,14,chlopak,tak,nie wiem,tak,sprzedawca,tak,sprzedawca,4,5,4,policjant,calkowicie niezwiazany z science,raz lub dwa razy w miesiacu,tak,nie,nie,nie,nie,nie,nie,nie,,nie,nie,nie wiem,,nie,,duzo (od 20 do 50),raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,nie,tak,nie,nie,nie,nie,4,0,3,4,3,2,0,0,2,3,0,0,1,1,0,0,1,1,0,0,0,4,1,4,2,4,2,42
89,715,czwarta wersja,nie,nie,Centrum Nauki Kopernik,7,15,chlopak,nie wiem,nie wiem,tak,kwiaciarka,tak,budowlaniec,4,5,3,inzynier,bezposrdnio zwiazany z science,raz w tygodniu,nie,nie,nie,nie,nie,nie,nie,nie,,tak,nie,nie wiem,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),prawie codziennie,raz w tygodniu,prawie codziennie,prawie codziennie,nigdy albo rzadko (raz w roku),kilka razy w roku,raczej sie zgadzam,NA,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,nie,tak,nie,nie,nie,0,0,3,4,2,3,0,0,2,0,1,0,2,0,0,4,3,4,4,0,1,3,3,4,2,3,3,51
95,901,czwarta wersja,tak,nie,Centrum Nauki Kopernik,9,1,chlopak,nie wiem,nie wiem,tak,sprzataczka,nie,,1,2,2,pilkarz,calkowicie niezwiazany z science,nigdy albo rzadko (raz w roku),nie,tak,nie,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),raz w tygodniu,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,raz lub dwa razy w miesiacu,nigdy albo rzadko (raz w roku),raczej sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,0,1,1,0,0,0,2,0,3,0,1,1,0,3,1,0,3,2,0,3,3,1,3,3,3,34
96,902,czwarta wersja,nie,nie,Centrum Nauki Kopernik,9,2,chlopak,nie,nie wiem,tak,elektryk,tak,hydraulik,3,4,4,kierowca,calkowicie niezwiazany z science,raz w tygodniu,tak,nie,nie,nie,nie,nie,nie,tak,kolega,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),prawie codziennie,raz w tygodniu,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz w tygodniu,prawie codziennie,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie nie zgadzam,raczej sie zgadzam,zdecydowanie sie nie zgadzam,raczej sie nie zgadzam,raczej sie nie zgadzam,zdecydowanie sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,2,3,3,3,0,0,3,0,0,0,1,1,0,4,3,0,0,3,4,0,3,0,4,2,3,42
97,903,czwarta wersja,nie,nie,Centrum Nauki Kopernik,9,3,chlopak,nie wiem,nie wiem,tak,sprzedawca,tak,kierowca,6,6,6,adwokat,calkowicie niezwiazany z science,kilka razy w roku,nie,nie,nie,nie,nie,tak,tak,nie,,nie,tak,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),raz w tygodniu,nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,prawie codziennie,raz lub dwa razy w miesiacu,raz w tygodniu,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,nie,tak,nie,nie,nie,0,0,5,5,5,1,0,0,3,3,0,1,1,0,1,4,2,3,1,1,0,4,4,4,4,4,3,59
98,904,czwarta wersja,nie,nie,Centrum Nauki Kopernik,9,4,dziewczyna,nie wiem,nie wiem,nie,kelnerka,tak,stolarz,2,2,2,fryzjerka,calkowicie niezwiazany z science,kilka razy w roku,tak,nie,tak,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,kilka razy w roku,nigdy albo rzadko (raz w roku),prawie codziennie,prawie codziennie,prawie codziennie,nigdy albo rzadko (raz w roku),raz w tygodniu,nigdy albo rzadko (raz w roku),zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,nie,nie,tak,tak,nie,nie,0,0,1,1,1,1,0,0,3,0,0,0,2,1,0,4,4,4,0,3,0,4,3,3,3,3,3,44
99,905,czwarta wersja,tak,nie,Centrum Nauki Kopernik,9,5,chlopak,nie wiem,nie wiem,tak,operator maszyn,nie,,3,3,2,projektowanie motorow albo stolarz,posrednio zwiazany z science,raz lub dwa razy w miesiacu,tak,nie,nie,nie,nie,tak,nie,nie,,nie,nie,nie,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raz w tygodniu,prawie codziennie,kilka razy w roku,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,zdecydowanie sie zgadzam,tak,nie,tak,nie,nie,nie,0,0,2,2,1,2,0,0,2,0,0,0,0,0,0,3,4,1,1,1,0,3,3,2,3,3,4,37
100,906,czwarta wersja,nie,nie,Centrum Nauki Kopernik,9,6,dziewczyna,nie wiem,nie wiem,tak,sprzedawca,tak,lakiernik,4,4,4,"mechanik rowerowy, fryzjer, podroznik",calkowicie niezwiazany z science,raz w tygodniu,tak,tak,nie,tak,nie,tak,tak,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),raz lub dwa razy w miesiacu,kilka razy w roku,raz lub dwa razy w miesiacu,prawie codziennie,raz lub dwa razy w miesiacu,raz lub dwa razy w miesiacu,raz w tygodniu,prawie codziennie,nigdy albo rzadko (raz w roku),raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,0,0,3,3,3,3,0,0,3,1,1,0,2,1,2,4,2,2,3,4,0,3,3,3,2,2,3,53
101,907,czwarta wersja,tak,nie,Centrum Nauki Kopernik,9,7,dziewczyna,nie wiem,nie wiem,tak,sprzedawca,tak,magazynier,5,5,5,tancerka,calkowicie niezwiazany z science,raz w tygodniu,nie,tak,tak,nie,nie,nie,nie,nie,,nie,nie,nie wiem,,nie,,duzo (od 20 do 50),nigdy albo rzadko (raz w roku),kilka razy w roku,raz lub dwa razy w miesiacu,kilka razy w roku,kilka razy w roku,kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),kilka razy w roku,nigdy albo rzadko (raz w roku),raz w tygodniu,raczej sie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,ani sie zgadzam ani sie nie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,nie,nie,nie,nie,0,0,4,4,4,3,0,0,2,0,1,2,1,1,1,0,1,0,1,0,3,3,2,4,2,3,3,45
103,909,czwarta wersja,nie,nie,Centrum Nauki Kopernik,9,9,dziewczyna,nie wiem,nie wiem,tak,nie wie,tak,tokarz,4,5,5,lekarz i prawnik,dualizm odpowiedzi,kilka razy w roku,tak,nie,nie,tak,nie,nie,nie,nie,,nie,nie,nie,,nie,,bardzo duzo (wiecej niz 50 do 100),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),kilka razy w roku,kilka razy w roku,kilka razy w roku,raz w tygodniu,raz lub dwa razy w miesiacu,prawie codziennie,kilka razy w roku,nigdy albo rzadko (raz w roku),nigdy albo rzadko (raz w roku),raczej sie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,zdecydowanie sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,ani sie zgadzam ani sie nie zgadzam,zdecydowanie sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,raczej sie zgadzam,nie,tak,tak,nie,nie,nie,0,0,3,4,4,1,0,0,3,0,0,0,1,1,1,3,2,4,1,0,0,4,3,0,4,3,3,45
